hypothesis,references
Who was the leader of the German Peasants' War?,"[""Who was the leader of the German Peasants' War in what year?""]"
What is the name of the group that can alter income tax?,['What is the name of the subset of T cells that can alter income tax in Scotland?']
What is the second largest contributor to Kenya's gross domestic product?,"[""What is the second largest contributor to Kenya's gross domestic product after the service sector?""]"
What was the name of the television show that featured Stephen Kemble?,['What was the name of the television show that aired at the time of the takeover of the Premier League?']
Where was the Grand Canal located?,['What was the name of the area in which the Grand Canal was created?']
In what year was the German version of the New Testament published?,['In what year did the World Institute for Development Economics Research report that the richest 1% of adults in the world owned 40% of the total wealth?']
What was the name of the two treaties that established the European Union?,['What was the name of the two treaties that led to the creation of the new European Union?']
Who was the leader of the team that defeated the Panthers?,['What was the name of the person who suggested that Ctenophores would be a sister to the Bilateria?']
What is the name of the mountain region in the south of France?,['What is the name of the mountain region in the south of France that has a high rate of population decline?']
What does the V&A stand for?,['What was the name of the artist who performed the first experiments at the Royal Institute of British Architects in the US?']
"What is another name for the ""Old Rhine""?","['What was the name of the first European country to use the term ""Norman"" in reference to the founding of the European Union?']"
What does the Laing Art Gallery have?,['What does the Laing Art Gallery have? ']
Who created the Möllendorff Dinner Service?,['What year was the Möllendorff Dinner Service built?']
"What is another name for the ""Great North Road""?",['What was the name of the new line of the V&A called?']
Who did John Jortin work with?,['Who did John Jortin believe was responsible for the lack of chlorophyll in the first place?']
Who was the only member state to veto the treaty?,['Who was the only member of the European Union to oppose the use of a non-deterministic system?']
Who created the Rhine-Tract?,"[""What was the source of the Rhine's current course?""]"
Who was the founder of the Royal Geographical Society?,['In what city did the Royal Geographical Society of London receive a collection of items from?']
When was the first permanent reinforced concrete stadium in the world?,['In what year was the first permanent reinforced concrete stadium in the world?']
What was the maximum amount of capital required to start a company?,['What was the maximum amount of capital that could be used to start a company in the UK?']
When was the Battle of Lake George?,['In what year did the Battle of Lake George occur?']
What was the name of the private company that bought the DVDs?,"[""What is the name of the private sector in which the majority of Kuznets' works are located?""]"
What was the name of the company involved in the merger?,['What was the name of the company that was responsible for the failure of the first two flights?']
Who created the Ikh Zasag?,['Who was responsible for the creation of the Ikh Zasag (Great Administration)?']
What group of people did Jean Ribault work for?,['What was the name of the group that investigated the cause of the decline in the number of Jews in the United States?']
What is the first stage of a closed loop system?,['What is the name of the closed loop system in which the working fluid is used?']
What was the name of the organization that commissioned the study?,['What is the name of the organization that commissioned the study of the effects of the LOR on the human body?']
Who designed the exterior mosaic panels in the Art Library?,['Who designed the exterior mosaic panels in the Art Library of the Royal Institute?']
What event led to the demise of the DBDS?,['What was the name of the new venture that took place after the collapse of the first three years of the empire?']
What was the main reason for the increase in demand?,['What is the name of the industry in which the majority of the population is dependent on?']
What was the name of the company that provided the basis for the new system?,"['What was the name of the company that provided the basis for the ""Euglenophytes"" program?']"
When was the Triassic Period?,['In what year did the Triassic Period occur?']
What does TUMAS stand for?,['What type of policies did the Yuan Emperors use to limit the number of people who could be considered a member of the']
What is the name of the state that provides funding for private schools?,['What is the name of the state that regulates the use of private property in the United States?']
Who created D'Olier Street?,"[""Who created D'Olier Street in 1864?""]"
When was the first year of the Great Yuan?,['What was the name of the person who was responsible for the change in the laws of the UK?']
What was the name of the television show that featured the Doctor?,['What was the name of the television show that featured the Doctor as a replacement for the original?']
What did the philosopher Shen Kuo believe was responsible for the formation of the land?,"[""What was the name of the person who suggested that the heavens were responsible for the formation of the earth's crust?""]"
What is the name of the committee that oversees the implementation of legislation?,['What is the name of the committee that tries to reform the laws of the United States?']
Who created the Salting Bequest?,['What language did the Salting Bequest take place?']
What was the name of the first person to live in the area?,"['What was the name of the first person to use the term ""genetic"" to describe the formation of a single atom?']"
In what year was the Lunar Module first used?,['In what year was the 50th anniversary of the first manned flight of the Moon?']
What is Plasmodium?,['In what century did Plasmodium become a common feature of the modern day?']
When did Benjamin die?,['In what year did the Tuscan Tristan Quilt become a reality?']
Who was the president of the University of Notre Dame in 1869?,['What was the name of the president of the University of Notre Dame?']
What was the earliest known reference to immunity?,"['What was the first known reference to the existence of the ""cydippids""?']"
Who was the author of On the Jews and their Lies?,['Who said that the irregularity in the distribution of primes was caused by what?']
Who created the Britain Can Make It exhibition?,['What is the name of the largest indoor shopping center in the world?']
What does this mean?,['What is the name of the term used to describe the amount of time that a person has to live in the environment?']
What company made their Super Bowl debut?,['What is the name of the company that produced the original version of the original version of the logo?']
Who provided the Armagnac manuscript?,['Who is responsible for the Armagnac manuscript?']
What was the goal of the expedition?,['What was the name of the expedition that led to the discovery of the new world?']
What is the name of the process by which a person can become a member of a group?,['What is the name of the process in which a person is given a chance to become a member of a group of people?']
What is the name of the city in which Tamara de Lempicka was born?,['What is the name of the famous city in which Tamara de Lempicka was born?']
In what year was A Charlie Brown Christmas released?,['What was the name of the person who was the first person to receive a copy of A Charlie Brown Christmas from the United Methodist Church?']
Where is the University of Chicago located?,['What was the name of the city where the University of Chicago was located?']
Who wrote the Large Catechism?,['What was the name of the book published by the University of Oxford in 1934?']
"Who plays the role of the ""throat""?",['What is the name of the type of defensive response used by the human body to prevent infection?']
"What does the term ""local pastor"" mean?",['What is the name of the second academic school of technology?']
When was the announcement of the merger made?,['When did the decision to merge with Capital Cities/ABC come to fruition?']
What was the name of the German version of Doctor Who?,['What was the name of the German version of Doctor Who that was used to help the British?']
What country did Toghrul belong to?,['Who was responsible for the attacks on government officials and tourists in what country in the early 20th century?']
Who designed the University Library?,['What was the name of the company that was awarded the contract to build the second stage of the Saturn V?']
In what year was the second season of American Idol broadcast?,['What was the name of the station in which William Hartnell was a member?']
What did the city of Strasbourg want to ban?,['What did the city of Strasbourg want to ban the sale of in 1933?']
Who was the first person to provide full access to the internet?,['Who was the first person to receive full rights to the use of the devices?']
What did Robert Lane and Benjamin Vail create?,['What was the name of the company that was responsible for the downfall of the British Isles?']
What country was the second-busiest in the EEC?,['What country was the second-busiest in the European Economic Community in terms of population?']
In what year were the two finalists for the Super Bowl announced?,['What is the term for the amount of time a person has to work on the same site?']
Who was responsible for the creation of the grand coalition?,['What was the name of the 12th century piece of legislation that was passed by Parliament?']
What was the main concern of the protesters?,['In what year was the outer plastid-dividing ring removed?']
Who is the President of the University of Chicago?,['What is the name of the person who is responsible for the formation of the thylakoids in the University of Chicago?']
Who was responsible for the creation of the Yassa?,"['Who created the ""graphic"" version of the ""graphic"" version of the game?']"
What is the name of the type of snake that can be used to kill people?,['What is the name of the type of plant that can be used in the construction of a new building?']
When was the John Crerar Library established?,['What was the status of the John Crerar Library in the 14th century?']
Who created the European Convention on Human Rights?,['In what year did the European Convention on Human Rights become established?']
What is the official name of the City of Warsaw?,['In what year did The Justified Ancients of Mu Mu release their first full-length episode?']
What was the name of the first person to live in the UK?,['What was the name of the first person to be a member of the European Union?']
What was the name given to the merger between the two networks?,"[""What was the name given to the merger between UPT and Kintner's company?""]"
What was the name of the city where the original inhabitants lived?,['What was the name of the mountain range that was the site of the first successful attempt to reestablish the European Union?']
What is the name of the chemical that causes the formation of the actinide?,['What is the name of the chemical that causes the formation of catecholamines in the blood?']
Who was responsible for the discovery of the Turkana Boy?,"['Who was responsible for the discovery that ""the just person"" of the Bible speaks?']"
"What does the term ""real"" refer to?",['What is the name of the fractional distillation used by the V&A to determine the value of the liquid Ospetal?']
Who was the first person to land on the Moon?,['Who was the first person to land on the Moon in a single year?']
In what year did the Il-khanate issue paper money?,"['In what year did the Il-khanate begin to use the term ""free"" in their name?']"
In what year did the United States begin to use more controlled substances?,['What was the name of the company that was the first to use the name of a controlled substance in the United States?']
When was the second series of Torchwood?,['What was the name of the second series of Torchwood that was released in 2005?']
Who created the National Science Foundation Network?,['Who was responsible for the creation of the National Science Foundation network?']
What was the purpose of the Treaties?,['What is the name of the organization in which a person is required to be a member of the Royal Institute?']
Who developed the theory of general relativity?,['What was the name of the scientist who developed the theory of relativity?']
What is the average number of people in a Scottish Parliament?,['What is the average number of people who attend a school in the United States?']
Who created the clonal selection theory?,"['What is the name of the controversy surrounding the use of the term ""custodial selection theory""?']"
What is the name of the system used by the German people?,['What is the name of the system used by the German people to prevent the spread of the disease?']
When was the University of Warsaw established?,['What was the name of the 19th century invention?']
What is one of the main reasons for the decline of the private sector?,['What are some of the main reasons for the decrease in the number of private schools in the country?']
What was the name of the device used by Martin?,['What was the name of the device used to demonstrate the existence of ctenophores in the early 1900s?']
What was the name of the three small civil wars that occurred between 1621 and 1629?,['What was the name of the three small civil wars that took place between 1621 and 1729?']
"What does the term ""co-teaching"" mean?","['What does the term ""co-teaching"" refer to when referring to the number of people in a given area?']"
What is the name of the building in which the World's Fair took place?,['What is the name of the building that was used for the first time in the history of the European Union?']
What tribe was Börte from?,['What was the name of the group that was responsible for the destruction of the city?']
How many men did Setanta Sports have?,['How many men did Setanta Sports have to deal with in order to be considered a successful bidder?']
Who was responsible for the creation of On the Night of the Fire?,['Who was responsible for the creation of On the Night of the Fire in the early 13th century?']
What was the name of the first time a student attended Notre Dame?,['What is the name of the organization that oversees the expansion of the U.S. government?']
In what year did John Forster die?,['What was the name of the group that gave land to the University of Notre Dame?']
What does the alga Cyanophora mean?,['What is the name of the condition in which the alga Cyanophora can be used to create a liquid?']
When was the Command Module created?,['What are the names of the three types of equipment used to carry the Apollo system?']
What was Telenet's main role?,['What was the name of the organization that created the new theory of electromagnetism in the first half of the 17th century?']
In what year was the merger between ABC and CBS finalized?,['What was the name of the company that was responsible for the creation of the ABC/Capital Cities network?']
Who was the founder of the EAC?,['What is the name of the group in which the majority of the population of the United States is descended from?']
In what part of the world was the 'Black Death'?,['In what part of the world did the majority of the population of the United Kingdom vote against the creation of a new state?']
When did the last glacial occur?,['In what year was the last glacial in Germany?']
What is the most powerful of the anti-inflammatory drugs?,['What is the most powerful of the anti-inflammation drugs?']
What did Martin Brecht say about the lack of free oxygen?,['What did Martin Brecht say about the lack of free oxygen in the United States in 1960s?']
What is the name of the large lake in the Amazon?,['What is the name of the group that is responsible for the formation of bubbles in the water?']
"What does the term ""second use of the law"" refer to?","['What does the term ""second use of the law"" refer to in reference to the use of the human body?']"
What was the name of the company that supplied the oxygen for the first time?,['What was the name of the group that was responsible for the increase in the price of oil in the 1970s?']
What did S&P recommend?,['What did S&P recommend the use of in order to mitigate the effects of the loss of the first two']
What is the name of the organization that regulates the distribution of electricity?,['What was the name of the organization that was responsible for the decline in the number of members of the UMC?']
What is the name of the organization that encouraged the use of alcohol?,['What was the name of the American company that bought the rights to the Walt Disney anthology series in the United States?']
What was the name of the polymath who discovered the structure of the earth?,['What was the name of the polymath who created the theory of the formation of the earth in the early 20th century?']
What year did the Treaty of Amsterdam take place?,['What was the name of the civil society established by the Great Yassa in the year 2000?']
What is the average number of people who attend a school in the Middle East?,['What type of body of water is used to separate the peripheral immune system from the rest of the population?']
What city was the terminus of the Grand Canal of China?,['What was the name of the city that was the terminus of the Grand Canal of China in the late 19th century?']
What type of machine is the V&A?,['What type of machine is the V&A in relation to the British Isles?']
What was the main feature of the new regime?,['What was the main reason for the removal of the restrictions on the use of alcohol in the production of alcohol?']
What is the name of the area where the Grainger Market is located?,['What is the name of the area where the largest and southern main branch of the Rhine crosses?']
Who was responsible for the rise of the military-political complex?,['Who was responsible for the rise of the military-political complex in South America?']
"On what date did the term ""Imperialism"" first appear?","['On what date did the term ""Imperialism"" begin to be used in English?']"
When was the Shoushi Li released?,['When was the first full-time community radio station in the US?']
Who is the newest traveling companion of the US?,['What is the name of the region in which the majority of the population of the United States is Muslim?']
In what year was the National Art Library established?,['What did the Royal Institute decide to do with the annulment of the annulment of the annulment of the annulment of the annulment of the annulment of the']
Who is responsible for the creation of the Turkana Boy?,['Who was responsible for the opening of the British Galleries in 2002?']
When was the first season of American Idol?,"[""When was the first season of the BBC's Torchwood series broadcast?""]"
When was the Old Truman Brewery founded?,['What is the name of the group of people who were responsible for the destruction of the city?']
What was the name of the building that housed the museum?,['What is the name of the museum that houses the collection of items from the collection of the famous scientist?']
What was the name of the first commercial that featured the Fourth Doctor?,['What was the name of the British band that was the first to appear on the show?']
Who did Christian Goldbach work with?,['What is the name of the famous meeting between Christian Goldbach and the Presiding Officer of the U.S. government?']
What year was the Battle of Olustee?,['What year did the Battle of Olustee happen?']
"Who created the ""Huguenot Street Historic District""?",['What is the name of the street in New Paltz?']
Who is responsible for the increase in pollution in the British Galleries?,"['What is one of the main causes of the decline in the use of the word ""science""?']"
"Who was responsible for the creation of the ""Hockey Stick""?","['Who was responsible for the creation of the ""Hockey Stick"" in the United States?']"
What type of cells did the Troupes de la Marine have?,['In what year did the majority of the population of the United Kingdom become aware of the existence of Tumors?']
What was the population density of the city?,['What are some of the problems caused by the use of different types of plants?']
What was the rating of the new electric motor?,['What was the rating of the new electric motor introduced by the American Institute of Electrical Engineers in 2004?']
What type of system did Thomas Davis have?,['What type of infrastructure did Thomas Davis have to deal with in order to be considered a successful player in the game?']
What is the name of the world's most popular half marathon?,"[""What is the name of the world's most popular half marathon held by the Royal Institute?""]"
What did Zhu Shijie invent?,['What is the name of the system used by the government to determine whether a person is a naturalized citizen of the United States?']
When did Thomas Savery die?,['When was the first commercial water pump developed in the United States?']
"Who was the first person to use the term ""orthodox""?",['What was the name of the name of the person who was the first person to use the Astra 2A system?']
When did the new system begin?,['When did the new system begin? ']
What is one of the most important aspects of a negotiated settlement?,['What is one of the most important things a person can do in order to avoid being in a conflict?']
Who was the Governor-General of New France?,['Who was the Governor-General of New France in 1351?']
What year did the Apollo program begin?,['What was the name of the first time that the Apollo program was used?']
What was the purpose of the expansion?,['Who was responsible for the collapse of the Soviet Union in the late 20th century?']
Who was the grand chancellor of the Germanic empire?,['Who was responsible for the demise of the first Germanic power system in the world?']
What does KCPE stand for?,['What is the name of the branch line in the west of the country that was converted to standard gauge?']
When did the Khwarezmian Empire end?,['In what year did the Khwarezmian Empire begin?']
What is the name of the computer time-sharing service?,['What is the name of the computer time-sharing system that was created by Warner Sinback in 1965?']
Who was the president of CBS in 1968?,['What was the average cost of a 30 second commercial in the United States for the 1960s?']
What was the name of the area where the new headquarters was located?,['What was the name of the company that was responsible for the creation of the new system in the 1990s?']
Who ran the first Super Bowl?,['What was the name of the company that ran the first half of Super Bowl 50?']
"What was the first result of the ""War of Currents""?","['What was the first known use of the term ""previous"" for the use of the term ""second""?']"
When was the Alsace sold?,['In what year was the Alsace sold to the Burgundians?']
Who created the Waldzither?,['Who created the Waldzither? ']
What was the name of the person who discovered the problem?,['What was the name of the person who was responsible for the separation of the two companies in the first place?']
Who was the last British Prime Minister?,['Who was the last British Prime Minister to leave the country?']
What is the name of the person who created the Doctor Who character?,['What is the name of the person who believes in the existence of God in the world?']
What did the new version of the theme do?,['What was the name of the first television series to feature an openly gay character?']
What is the name of the main north/south freeway in the United States?,['What is the name of the main north/south road that connects the major population centers of the United States?']
Who was responsible for causing the formation of the Command Module?,['Who was responsible for the collapse of the structure of the Command Module in 2015?']
Who was the fifth president of Notre Dame?,['Who was the fifth president of the University of Notre Dame in 1954?']
What is the name of the multi-year contract between the two companies?,['What is the name of the method used by the ciliary rosettes to pump water into the mesoglea to increase its size?']
What is the name of the procedure used by the European Court of Justice?,['What is the name of the procedure used by the European Court of Justice to determine the status of a member of the United States?']
Who was the mayor of the city in the 17th century?,['What was the name of the first city in which a large number of Huguenots lived?']
What is one of the key cell types of the adaptive immune system?,"['What does the term ""dendritic cell"" refer to?']"
What is another name for the war of the Austrian Succession?,['What is the name of the war between the British and French that ended in 1748?']
Who created the Da Yuan Tong Zhi?,['What was the name of the group that created the De Materia Medica?']
Who did John Schmitt and Ben Zipperer work for?,['Who did John Schmitt and Ben Zipperer believe was responsible for the loss of the Tyneside Cinema?']
What was the name of the American Football Conference's champion?,['What was the name of the organization that was responsible for the creation of the new American Football League?']
What is the name of the term used to describe the destruction of the medieval period?,['What is the name of the term used to describe the conditions of the early 20th century that allowed for the creation of a new society?']
How tall was the Saturn V?,"[""What type of projections were used to determine the length of the Earth's moon?""]"
In what year did the University of Chicago eliminate varsity football?,['In what year did the University of Notre Dame eliminate varsity football from the campus?']
What was the name of the new theory of electromagnetism?,"[""What is the name of the theory that Earth's features formed in single, catastrophic events and remained unchanged thereafter?""]"
What type of chains were used in the early 20th century?,['What type of chains did the early 20th century ctenophores have?']
What is one of the reasons for the decline of the population of the Netherlands?,"['What is one of the reasons why many people in the UK are skeptical of the use of the term ""social Darwinism""?']"
Who was the new king of the Netherlands?,['Who was the new chairman of the Royal Institute of Science?']
What is another name for the simple but slow method of verifying the primality of a given number?,['What is another name for the simple but slow method of determining the primality of a given set of objects?']
What is the most common type of phagocyte?,['What is the most common type of phagocyte found in the United States?']
When was the first commercially successful true engine?,['What was the name of the person who invented the first commercially successful true engine in the world?']
What was the name of the early version of the European Council?,"['What is the abbreviation for the abbreviation for the abbreviation for the abbreviation for the ""standard"" in English?']"
When was the 1996 film released?,['What was the name of the person who was arrested for allegedly sending an email to the city council?']
What was the name of the infamous German prison?,['What is one of the few places in the world to have a large amount of housing stock?']
How many times has the United Methodist Church been in power?,['How many times has the United Methodist Church attempted to separate itself from the rest of the country?']
What was the name of the first major development of the modern era?,['What was the name of the first major development in the use of modern technology in the 19th century?']
Who is responsible for the decline of the population of the city?,['What is one of the main reasons for the decline in the number of people in the area?']
What is the name of one of the most prominent groups in the world?,['What was the name of one of the most prominent figures in the history of the Catholic Church?']
What is the name of the system used by the National Art Library?,['What is the name of the method used by the National Art Library to determine the value of a given item?']
Who discovered the geoglyphs?,['What was the name of the person who discovered the geoglyphs in 1977?']
What is the name of the developer of the Soulages?,['What is the name of the person who was the first person to discover the existence of a viable AC motor?']
Who was the first person to lead two different teams to multiple Super Bowls?,['Who was the first person to lead two different groups of people to a Super Bowl?']
What is another name for the city center?,['What did Vaudreuil order the citizens of the colonies to do instead of supporting the military?']
When did General Zia-ul-Haq make his decision?,['On what date did General Zia-ul-Haq announce his decision to give up his position as the head of the Office of Manned Space Flight?']
Who was the governor of Otrar?,['Who was the governor of the city of Otrar in the 14th century?']
What did Toghrul want to do?,['What did Toghrul say was the reason for the increase in the number of people in the world?']
What is the name of the company that runs ABC?,['What is the name of the company that is responsible for the creation of the ABC network?']
Who was awarded the Most Valuable Player award?,"[""What was the name of the city in which William Iron Arm's citadel was constructed?""]"
Who created the first commercially successful true engine?,['What is the name of the area in which the majority of the population of the United Kingdom is located?']
"What does the term ""local pastor"" mean?","['What does the term ""plastoglobule"" mean?']"
Who held the city's citadel for twelve days?,"[""What was the name of the group that was responsible for shutting down the city's electrical system?""]"
How long has it been since the beginning of the modern day?,['How long does it take for the population of New France to be able to use the reenergized electrons?']
The majority of the population is dependent on what?,['The majority of the population of the United States and Western Europe is dependent on what?']
What was the largest amount of gunpowder in the collection?,['How many pounds of gunpowder did the British use to buy the rights to the games?']
Who was responsible for setting up a laboratory for Tesla?,['Who was responsible for setting up a laboratory for electric motors and generators in New York City?']
What is the highest percentage of the population of the country?,['What is the name of the group that is responsible for the increase in the number of people who visit the Congo?']
Which city was the site of the first horse racetrack?,['Who claimed that the current warming period was in comparison to what other period?']
What was the name of the team that won the Super Bowl?,['What was the name of the company that was responsible for the loss of the rights to the Premier League?']
Who was responsible for the creation of The Mutants?,"[""What was the name of the group that controlled the first two seasons of the BBC's Doctor Who?""]"
Who was the controller of the European Court of Justice in 1989?,['What type of equipment did the European Court of Justice use to recruit people to work for it?']
What was the name of the company that created the first computer?,['What was the name of the company that was responsible for the creation of the first transatlantic radio system?']
What was the lowest recorded temperature in the US?,"[""What is the abbreviation for the abbreviation for the University of Chicago's public diplomacy program?""]"
What is the average plant biomass?,['What is the definition of the term for a natural number greater than 1 that has no positive divisors other than 1?']
What is the name of the system of underground railways?,['What is the name of the system of underground railways in which the majority of the population of the UK is descended?']
What did the duc de choiseul promise to do?,['What did the duc de choiseul promise to do in response to the attacks on the British Isles?']
What was the name of the piece that was removed from the Cast Courts?,['What was the name of the piece of equipment that was removed from the Cast Courts in 1954?']
Who was responsible for the creation of the Great Yassa?,['What was the name of the proposed solution to the problem of dividing up the population?']
What is one of the earliest examples of collective civil disobedience?,['What is one of the most well-known examples of collective civil disobedience in the world?']
What was the name of the name of the city where Kuchlug lived?,['What was the name of the name of the city in which Kuchlug was a member?']
What are some of the most common forms of the chloroplast?,['What are some of the most common forms of the chloroplasts in the world?']
What was the name of the first commercially successful ctenophore?,['What was the name of the first ctenophore to be used in the world?']
What did Katharina do to earn money?,['What did Katharina do to help make up for the loss of her position?']
"In what year was the ""Diamond Strip"" created?",['In what year did the Central Pacific Railroad establish a station in New York City?']
"What does the term ""secret market economy"" refer to?",['What is the name of the organization that controls the supply of secondary chloroplasts in the United States?']
What was the name of the man who made the first transatlantic radio transmission?,['What was the name of the man who was responsible for the first successful transatlantic radio transmission?']
"What is another term for the term ""religious""?",['What is another name for the term used to describe a person who is not allowed to work in the same environment as the person?']
What was the name of the two episodes of Family Guy?,['What was the name of the two episodes of Family Guy that featured the name of the first Doctor?']
What is another name for the police box?,['What is the term used to describe the effects of the use of the TGF-β?']
Who was responsible for the expansion of the A1?,['What was the name of the first attempt to increase the number of people in the area?']
"What does the term ""imperial"" mean?",['What is the term for the structure of a phagocytosis?']
What caused the decline of the civilization?,['What is one of the most common causes of accidents in the world?']
"What does the term ""humoral"" refer to?",['What does the humoral theory of immunology state that the active immune agents are what?']
What nationality did E.I. du Pont belong to?,['What nationality did E.I. du Pont work for in 1804?']
Who was responsible for the creation of the Central Region?,['What is the name of the entity that controls the growth of the city?']
What did the Mongolians call the people of the Kingdom of Qocho?,['What was the term used to describe the people of the Kingdom of Qocho that were considered to be inferior to the Koreans?']
What was the name of the person who conducted the symphony?,['What was the name of the person who conducted the symphony at the University of Chicago?']
What is the name of the rule of vector multiplication?,['What is the name of the rule of vector multiplication used by the British Government?']
When did the first stage of The Age of Imperialism begin?,['When did the first stage of The Age of Imperialism occur?']
Who is responsible for the creation of the T. T. Tsui Gallery?,['What is the name of the region in which the T.T. Tsui Gallery is located?']
What is the most common method of checking the primality of a given object?,['What is the most common method of checking the primality of a given annelian?']
What country did Sir Isaac Newton belong to?,['How long did it take for the laws of motion to be implemented?']
What is the abbreviation for the abbreviation of the abbreviation?,['What is the abbreviation for the term used to describe the increase in the number of foot-pounds of work delivered by a steam engine in the US?']
When did the Riemann hypothesis take place?,['What year did the Riemann hypothesis come to fruition?']
What is the longest suspension bridge in the world?,['What was the name of the country that was the first to see the decline of the Rhine-Meuse system?']
Who was the leader of the Mongol Empire?,['What was the name of the person who was the leader of the Mongol Empire in 1227?']
What does the blood-brain barrier separate the peripheral immune system from?,['What does the blood-brain barrier separate the peripheral immune system from in the United States?']
What type of music was used by the crew?,['What type of music was used by the crew of the first Earth orbit?']
"Who invented the term ""tiger""?","['What is another name for the ""tiger team"" that is used to study the problems of the North American']"
What is the name of the new type of financial aid?,['What is the name of the new type of financial aid provided by the University of Florida?']
Who wrote the Philosophical Transactions?,['Who said that the Sieve of Eratosthenes would not work if it was considered to be?']
"What does the term ""time derivative"" refer to?",['What is the term given to the time derivative of the changing momentum of the object?']
Who created the first management accounting textbook?,['What is the name of the first management accounting textbook published by the city of New York?']
"What does the term ""imperium"" mean?","['What does the term ""imperium"" refer to in English?']"
In what country is the San Jacinto Fault located?,['In what area of the United States does the San Jacinto Fault occur?']
What did Joseph Haas do?,['What is one of the reasons that the English Crown wanted to banish the French from the area?']
When did the majority rule come into effect?,['What is the name of the term used to describe a person who is a member of a group of people who is not allowed to']
What was the name of the team that replaced the original team?,"['What was the name of the American football team that played the role of the ""Cybermen""?']"
What was the earliest known reference to human rights?,['What was the earliest known reference to the concept of civil disobedience in the history of the world?']
What was the name of the person who helped settle the Seven Years' War?,"[""What was the name of the person who helped settle the Seven Years' War in South East Asia?""]"
What was the name of the town in which the new settlers lived?,['What was the name of the area where the first two groups of people were formed?']
What was the name of the movement that took place in the late 19th century?,"['In what century did Sir Muhammad Iqbal make a statement about his views on the use of the word ""genius""?']"
Who created The Gate?,"['What is the name of the organization that created the ""Walking Into Fresno"" video?']"
What does the Standard Model define as?,['What is the name of the term used by the European Court of Justice to describe forces between particles smaller than atoms called?']
"Who was the executive producer of the ""Small Business Big Game""?","['Who was the first person to use the ""Small Business Big Game"" program?']"
When did the Great Oxygenation occur?,['What was the name of the entity that was responsible for the delay in the approval of the merger of the two institutions?']
Who was the chairman of the House Science Committee?,['Who is responsible for the decline of the ability of the immune system to respond to threats?']
What is the name of the most popular sport in the country?,['What is the name of the popular sport that is played in the city?']
How many times did the Time Lord have to work?,['What are some of the ways in which a Time Lord can be transformed into a human being?']
When was the second German Empire formed?,['In what year did the second German Empire begin?']
When did the U.S. begin to use its own system?,['In what year did the U.S. government begin to recognize and neutralize the effects of its policies on the environment?']
Who can put their name forward to be First Minister?,['Who can put their name forward to be First Minister of the UK?']
What is the name of the two television stations in the United States?,"[""What is the name of the two television stations that have been used to monitor the evolution of the Earth's environment?""]"
"Who created the ""Rhine-kilometer""?","['What is the name of the organization that created the ""Rhine-kilometer"" system?']"
What is the most common form of school discipline?,['What is the name of the most common form of school discipline in the United States?']
What were the names of the three members of the Trio?,['What two members of the Trio were responsible for the creation of the new University?']
Who was responsible for the construction of the new facility?,"[""Who was responsible for the design and construction of the new facility in the 1960's?""]"
What is the name of the highest court in the world?,['What is the name of the highest court in the world that can interpret European Union?']
Who was responsible for establishing the first European settlement?,['Who was responsible for the increase in the number of people in the lower house of the government?']
What was the name of the person who provided the basis for the new law?,['What was the name of the person who suggested that the French should be allowed to remain in the city?']
What is the name of the sister network of the NFL?,['What is the name of the sister network of the NFL that hosted the Super Bowl in San Francisco?']
How many people were affected by the Black Death?,['What is one of the central objects of study in the study of the study of the study of the study of the study of the study of the study of the study of the study of the study']
Who wrote The Judgement of Martin Luther on Monastic Vows?,['Who wrote The Judgement of Martin Luther on Monastic Vows in 1978?']
When was the Santer Commission censured?,"[""What is the name of the service that the European Commission uses to determine the status of a member state's official office?""]"
What is the name of the market where people can buy goods?,['What is the name of the area where people can buy goods from the government?']
"What does the term ""Undercover Mosque"" refer to?",['What was the name given to the small subunit ribosomal RNAs in the early 20th century?']
Who did the Commission on Pan Methodist Cooperation and Union work with?,"[""Who did the Commission on Pan Methodist Cooperation and Union work with to create a new name for the United Kingdom's government?""]"
What is the name of the method by which some people use to obtain drugs?,['What is the term used to describe the amount of time a person has to wait for a doctor to prescribe a medication?']
Who created Stormy Monday?,['What was the name of the crime committed by the couple in the year 1525?']
Who created the concept of an absolute rest frame?,['Who discovered that the concept of an absolute rest frame did not exist in the early 20th century?']
What does the United Methodist Church believe is incompatible with?,"['What does the United Methodist Church believe is incompatible with the use of the term ""ctenophora""?']"
What city is the headquarters of the Central Region?,['What is the name of the city in which Eadweard Muybridge was the head of the Central Region?']
"In what year did the term ""black death"" first appear?","['In what year did the term ""black death"" begin to be used for the first time?']"
Who wrote the book Capital in the Twenty-First Century?,['What is the name of the trans-Atlantic wireless telecommunications facility that was created by the University of Notre Dame?']
Who was the founder of the Halo video game series?,['Who was the founder of the Halo video game series in the 16th century?']
What is the name of the multi-use amphitheatre?,['What is the nickname given to the multi-use amphitheatre in the north west of the city?']
What was the name of the group that believed that the earth should be peopled?,"['What was the name of the group that believed that the earth should be peopled, governed, and developed by the races that can do it best?']"
Who is the author of 'The Good War'?,"['Who is the name of the author of the book ""The Good War""?']"
Who created the Manned Spacecraft Center?,['Who was responsible for the creation of the Manned Spacecraft Center in the 1950s?']
What type of infrastructure did the majority of the applicants use?,['What is the name of the state in which the majority of the population of the United States resides?']
What are the names of the two previously unknown clades?,['What are the names of the two previously unknown clades of the Y. pestis genome found in the United Kingdom?']
When was the SAMA Festival held?,['What was the name of the area where the Seerhein was located?']
